#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
261,Justin Quiles,"3,796,788,470",155,0,10,60,120,NA,NA,solo,261,"3,301,910,411",9/25/21
262,Bryson Tiller,"3,796,463,329",68,0,7,48,60,10/17/15,2231,solo,262,"913,965,635",11/22/21
263,Alok,"3,787,680,615",181,0,11,60,110,NA,NA,solo,263,"213,631,873",11/19/21
264,Capital Bra,"3,785,420,264",236,0,7,79,182,NA,NA,solo,264,"595,832,381",11/21/21
265,Ne-Yo,"3,761,944,355",188,0,10,32,128,12/10/05,5829,solo,265,"1,793,601,060",10/6/21
266,Arcangel,"3,732,840,142",273,0,7,54,182,NA,NA,solo,266,"4,346,690,866",11/16/21
267,Kane Brown,"3,722,088,164",91,0,9,52,82,11/14/15,2203,solo,267,"22,813,517",10/17/21
268,Morat,"3,693,015,886",70,0,8,56,67,NA,NA,solo,268,"348,056,154",11/22/21
269,Piso 21,"3,685,044,883",74,0,11,27,60,NA,NA,group,269,"54,983,912",5/26/21
270,Lenny Tav?ez,"3,680,868,845",86,0,9,42,80,NA,NA,solo,270,"3,054,366,257",11/16/21
271,My Chemical Romance,"3,675,537,307",135,0,8,52,114,2/12/05,6130,group,271,0,10/19/21
272,NAV,"3,672,108,398",113,0,10,67,113,NA,NA,solo,272,"1,768,076,456",11/20/21
273,Vance Joy,"3,651,676,809",70,1,6,35,53,7/12/14,2693,solo,273,0,11/20/21
274,James Bay,"3,643,340,494",76,0,8,40,67,1/9/16,2147,solo,274,"3,935,342",11/11/21
275,Bring Me The Horizon,"3,598,615,867",134,0,10,62,121,NA,NA,group,275,"637,221",10/19/21
276,Kelly Clarkson,"3,583,490,884",322,0,8,40,140,9/21/02,7005,solo,276,"197,054,531",11/23/21
277,Thomas Rhett,"3,570,841,348",93,0,13,50,93,7/28/12,3407,solo,277,"196,189,924",9/28/21
278,Labrinth,"3,567,683,826",125,0,10,37,90,NA,NA,solo,278,"326,316,513",6/3/21
279,TWICE,"3,562,346,274",192,0,9,68,171,NA,NA,group,279,"28,469,231",11/23/21
280,Avril Lavigne,"3,553,866,757",134,0,9,51,101,6/1/02,7117,solo,280,"19,247,804",11/23/21
281,YG,"3,551,013,571",194,0,8,63,130,9/11/10,4093,solo,281,"2,246,418,959",9/3/21
282,Henrique & Juliano,"3,549,520,949",148,0,8,93,141,NA,NA,group,282,"688,545,267",8/31/21
283,Jennifer Lopez,"3,546,437,029",228,0,9,46,117,5/15/99,8230,solo,283,"969,371,038",11/23/21
284,Aerosmith,"3,540,633,505",281,0,8,29,148,10/20/73,17568,group,284,0,11/8/21
285,Jonas Brothers,"3,530,341,248",93,0,8,35,86,2/17/07,5395,group,285,"456,924,413",9/22/21
286,Wisin,"3,520,148,199",114,0,10,38,95,NA,NA,solo,286,"4,992,869,607",10/12/21
287,Disturbed,"3,507,099,735",170,0,6,65,144,9/28/02,6998,group,287,"1,976,285",9/16/21
288,Kevin Gates,"3,495,948,086",266,0,4,92,206,1/9/16,2147,solo,288,"546,381,469",5/7/21
289,Amy Winehouse,"3,487,187,490",157,0,7,50,90,3/31/07,5353,group,289,"215,719,237",11/23/21
290,Ryan Lewis,"3,486,320,761",33,1,6,28,32,NA,NA,solo,290,0,6/4/21
291,YNW Melly,"3,482,724,243",80,0,9,32,77,2/2/19,1027,solo,291,"313,558,596",11/17/21
292,Lil Skies,"3,481,126,941",51,0,7,44,51,5/26/18,1279,solo,292,"716,747,844",11/17/21
293,Flume,"3,477,893,543",125,0,7,51,117,NA,NA,solo,293,"72,525,427",9/7/21
294,Tones And I,"3,462,882,347",29,1,4,13,20,10/19/19,768,solo,294,"724,639",11/23/21
295,Stevie Wonder,"3,396,794,575",582,0,8,45,147,6/13/64,20984,solo,295,"233,950,935",8/29/21
296,Backstreet Boys,"3,393,791,173",134,0,8,38,123,10/28/95,9525,group,296,"161,565,213",11/23/21
297,Morgan Wallen,"3,390,029,586",56,0,10,56,56,3/16/19,985,solo,297,"334,773,254",11/3/21
298,"Man?,3",378,"179""","44,027,654",217,0,10,147,11/11/21,NA,298,676,50
299,Miguel,"3,369,113,836",136,0,5,46,109,3/26/11,3897,solo,299,"1,902,566,777",9/3/21
300,Hans Zimmer,"3,368,679,488","1,422",0,3,72,475,NA,NA,solo,300,"70,151,456",9/26/21
301,Alejandro Fern?dez,"3,328,449,536",289,0,6,62,211,NA,NA,solo,301,"266,300,006",8/5/21
302,Fetty Wap,"3,321,899,161",118,0,7,36,69,2/7/15,2483,solo,302,"1,492,928,236",1/7/21
303,Lil Tecca,"3,310,198,168",72,0,8,37,69,6/15/19,894,solo,303,"239,733,727",11/22/21
304,Kesha,"3,306,354,951",139,0,8,38,104,7/29/17,1580,solo,304,"1,672,175,953",11/15/21
305,Sean Paul,"3,304,701,344",373,0,10,36,128,5/4/02,7145,solo,305,"3,146,217,843",1/5/21
306,Jason Aldean,"3,291,955,683",151,0,8,60,133,8/13/05,5948,solo,306,"134,000,156",11/22/21
307,Phil Collins,"3,273,106,160",334,0,8,35,143,3/21/81,14859,solo,307,"99,011,095",11/22/21
308,Wisin & Yandel,"3,270,926,458",288,0,10,47,130,12/10/05,5829,group,308,"899,916,309",10/11/21
309,Lil Tjay,"3,265,235,386",61,0,8,46,60,8/24/19,824,solo,309,"1,516,264,074",11/13/21
310,Yandel,"3,252,007,610",173,0,8,51,140,NA,NA,solo,310,"2,319,895,199",9/28/21
311,Prince Royce,"3,235,569,247",122,0,8,52,112,9/7/13,3001,solo,311,"1,261,528,518",11/2/21
312,Three Days Grace,"3,228,533,589",84,0,8,55,82,11/29/03,6571,group,312,"610,297",11/23/21
313,Steve Aoki,"3,228,090,914",389,0,6,60,202,NA,NA,solo,313,"1,297,146,988",10/17/21
314,Matheus & Kauan,"3,227,290,638",159,0,8,71,147,NA,NA,group,314,"569,156,064",11/7/21
315,Billy Joel,"3,221,073,294",412,0,9,35,136,2/23/74,17442,solo,315,"7,831,577",11/13/21
316,Nio Garcia,"3,216,363,995",118,0,7,27,86,NA,NA,solo,316,"111,020,985",11/4/21
317,Jeremih,"3,211,536,876",123,0,8,33,91,4/25/09,4597,solo,317,"2,897,368,856",9/19/21
318,Dr. Dre,"3,198,481,391",85,0,7,29,77,1/30/93,10526,solo,318,"1,794,542,559",8/26/21
319,Akon,"3,195,598,621",200,0,8,34,111,1/8/05,6165,solo,319,"2,940,757,028",11/23/21
320,Dan + Shay,"3,195,200,426",71,0,7,40,65,1/18/14,2868,group,320,"22,520,503",10/28/21
321,Eagles,"3,182,638,854",192,0,5,37,113,6/3/72,18072,group,321,0,11/21/21
322,Why Don't We,"3,153,762,831",92,0,10,53,82,10/17/20,404,group,322,"86,038,587",8/8/21
323,benny blanco,"3,153,549,277",20,1,6,12,19,NA,NA,solo,323,"14,271,916",11/18/21
324,Seeb,"3,148,225,045",85,1,6,24,56,NA,NA,solo,324,"13,599,416",1/4/21
325,Jessie J,"3,141,481,637",118,0,6,32,96,10/29/11,3680,solo,325,"58,351,166",11/16/21
326,Lil Mosey,"3,135,692,727",44,0,5,33,44,9/29/18,1153,solo,326,"405,632,040",10/26/21
327,George Ezra,"3,134,491,990",59,0,6,34,52,2/14/15,2476,solo,327,"35,557",9/3/21
328,Wesley Safad?,"3,121,201,802",267,0,4,54,244,NA,NA,solo,328,"555,937,674",10/18/21
329,Trey Songz,"3,111,281,269",266,0,5,56,181,12/3/05,5836,solo,329,"1,290,841,546",11/23/21
330,Pearl Jam,"3,089,500,881",399,0,7,47,226,11/19/94,9868,group,330,"1,253,096",3/19/21
331,Alejandro Sanz,"3,080,738,558",369,0,5,50,201,11/25/06,5479,solo,331,"502,682,709",11/3/21
332,CNCO,"3,069,440,151",78,0,5,42,68,NA,NA,group,332,"220,285,472",11/22/21
