#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
858,Oliver Heldens,"1,281,119,368",127,0,3,26,78,NA,NA,solo,858,0,11/14/20
859,Skepta,"1,280,472,588",146,0,1,31,105,NA,NA,solo,859,"1,177,727,240",8/24/21
860,NEFFEX,"1,280,094,835",156,0,2,27,139,NA,NA,group,860,0,5/14/21
861,Deftones,"1,279,504,423",139,0,2,30,118,NA,NA,group,861,"560,400",11/11/21
862,Gustavo Mioto,"1,275,880,945",89,0,4,24,64,NA,NA,solo,862,"67,732,424",11/2/21
863,Salmo,"1,271,561,602",149,0,1,29,93,NA,NA,solo,863,"568,046,990",11/13/21
864,Dean Martin,"1,271,240,189",586,0,1,17,107,8/2/58,23126,solo,864,"5,961,006",1/3/21
865,The Head And The Heart,"1,271,155,866",77,0,3,21,64,NA,NA,group,865,0,7/30/21
866,Benjamin Bl?chen,"1,270,296,618","5,668",0,0,2,41,NA,NA,solo,866,"2,187,805",10/9/21
867,The All-American Rejects,"1,268,950,476",86,0,4,8,61,6/21/03,6732,group,867,0,11/22/21
868,Lykke Li,"1,267,977,654",96,0,2,24,69,NA,NA,solo,868,"88,501,825",9/20/21
869,MC Kevin o Chris,"1,265,026,634",170,0,3,26,91,NA,NA,solo,869,"308,354,254",10/30/21
870,Tinie Tempah,"1,264,492,695",127,0,3,21,63,NA,NA,solo,870,"429,042,133",9/3/21
871,Bunbury,"1,264,052,572",408,0,1,22,181,NA,NA,solo,871,"153,201,830",11/18/21
872,Capo Plaza,"1,260,400,629",67,0,1,35,60,NA,NA,solo,872,"578,528,070",9/9/21
873,Lil Jon,"1,259,193,098",142,0,3,15,49,NA,NA,solo,873,"1,536,589,891",9/2/21
874,Toby Keith,"1,257,439,909",292,0,3,21,84,6/26/93,10379,solo,874,"18,017,157",9/2/21
875,Beck,"1,257,317,743",288,0,1,26,136,1/29/94,10162,solo,875,"78,812,344",9/22/21
876,Vince Staples,"1,256,181,440",82,0,2,26,75,NA,NA,solo,876,"513,459,766",10/27/21
877,Andrea Bocelli,"1,255,153,364",550,0,2,25,160,NA,NA,solo,877,"29,954,086",10/24/21
878,Lauren Daigle,"1,254,131,254",67,0,1,32,60,7/28/18,1216,solo,878,"150,419,068",9/3/21
879,ZHU,"1,253,093,333",104,0,2,30,77,NA,NA,solo,879,"45,485,295",9/7/21
880,Timbaland,"1,250,914,821",165,0,2,13,60,NA,NA,solo,880,"1,744,179,833",9/20/21
881,Juicy J,"1,250,538,324",334,0,2,27,85,NA,NA,solo,881,"2,951,000,597",12/30/20
882,Dynoro,"1,249,862,868",14,0,1,7,13,NA,NA,solo,882,0,11/17/20
883,Alice In Chains,"1,249,120,364",137,0,2,24,100,10/3/09,4436,group,883,"191,722",12/31/20
884,Melim,"1,248,051,948",84,0,2,30,64,NA,NA,group,884,"47,036,639",10/12/21
885,Chris Young,"1,247,645,486",92,0,3,20,68,8/29/09,4471,solo,885,0,11/14/20
886,Gustavo Cerati,"1,244,552,421",160,0,1,29,103,NA,NA,solo,886,"161,088,257",8/31/21
887,Salaam Remi,"1,244,052,119",174,1,1,2,10,NA,NA,solo,887,"274,416,805",8/5/21
888,Tungevaag,"1,241,073,021",62,0,4,24,39,NA,NA,solo,888,"1,371,087",5/14/21
889,TOMORROW X TOGETHER,"1,238,929,488",58,0,1,35,53,NA,NA,group,889,0,11/23/21
890,Los Bukis,"1,238,840,274",245,0,0,43,100,NA,NA,group,890,"6,645,445",9/24/21
891,Pabllo Vittar,"1,237,933,333",92,0,2,31,65,NA,NA,solo,891,"281,586,687",11/22/21
892,Simone & Simaria,"1,237,618,016",114,0,4,20,76,NA,NA,group,892,"210,244,341",11/21/21
893,Kina,"1,237,030,469",31,0,2,9,21,NA,NA,solo,893,"2,962,492",5/29/21
894,The Score,"1,232,564,626",60,0,2,25,57,NA,NA,group,894,"979,362",10/28/21
895,Seether,"1,230,727,184",169,0,3,23,103,12/28/02,6907,group,895,"116,581",12/27/20
896,Diego & Victor Hugo,"1,228,608,930",117,0,5,18,75,NA,NA,group,896,"8,937,561",11/17/21
897,Kris Kross Amsterdam,"1,227,717,300",29,0,2,11,20,NA,NA,solo,897,"9,661,668",1/25/21
898,Frenna,"1,227,249,089",144,0,0,38,105,NA,NA,solo,898,"318,543,777",11/15/21
899,Max Richter,"1,225,348,164",904,0,0,18,161,NA,NA,solo,899,"33,749",2/26/21
900,Brent Faiyaz,"1,223,680,356",45,0,2,22,45,NA,NA,solo,900,"538,478,146",7/28/21
901,Showtek,"1,223,338,892",247,0,2,19,69,NA,NA,group,901,"66,492,313",2/26/21
902,Craig David,"1,222,681,022",162,0,1,19,88,6/9/01,7474,solo,902,"82,078,053",11/8/21
903,Cash Cash,"1,222,618,389",133,0,3,22,63,NA,NA,group,903,"88,365,145",2/26/21
904,Dustin Lynch,"1,221,975,887",75,0,3,15,62,6/2/12,3463,solo,904,"8,764,477",11/13/21
905,Timmy Trumpet,"1,221,086,680",149,0,1,25,81,NA,NA,solo,905,"73,893,196",2/26/21
906,Intocable,"1,220,814,315",304,0,2,29,163,NA,NA,group,906,"17,782,991",6/27/21
907,B?NS,"1,218,774,629",44,0,2,17,40,NA,NA,group,907,"16,653,608",6/24/21
908,Supertramp,"1,218,664,114",119,0,3,16,81,4/12/75,17029,group,908,"30,706",10/13/21
909,a-ha,"1,218,091,808",350,0,1,10,65,7/13/85,13284,group,909,"11,723",1/3/21
910,A Tribe Called Quest,"1,217,610,616",172,0,1,31,108,6/6/92,10764,group,910,"2,194,254",10/25/21
911,Pixies,"1,217,270,049",707,0,3,14,97,NA,NA,group,911,"448,181",10/24/21
912,Foals,"1,216,570,455",163,0,2,31,76,NA,NA,group,912,"1,312,972",11/3/21
913,Daughtry,"1,215,090,026",123,0,2,19,91,12/9/06,5465,group,913,"1,852,975",10/4/21
914,Death Cab for Cutie,"1,212,468,637",218,0,1,29,116,NA,NA,group,914,"31,167,040",11/22/21
915,AWOLNATION,"1,212,368,781",116,0,1,19,68,9/3/11,3736,group,915,"24,910,582",7/10/21
916,Dominic Fike,"1,211,886,669",28,0,2,17,28,NA,NA,solo,916,"97,477,865",10/23/21
917,Megadeth,"1,211,095,049",401,0,1,19,173,10/17/92,10631,group,917,0,11/20/21
918,Camila,"1,210,015,690",98,0,3,20,69,NA,NA,group,918,"45,300,205",2/26/21
919,SCH,"1,208,921,724",111,0,0,42,110,NA,NA,solo,919,"516,721,560",11/17/21
920,Los Enanitos Verdes,"1,206,944,057",180,0,3,17,85,NA,NA,group,920,"4,841,307",10/5/21
921,HONNE,"1,205,507,044",120,0,1,28,84,NA,NA,solo,921,"14,323,459",11/21/21
922,Otis Redding,"1,202,718,503",273,0,2,16,85,5/25/63,21369,solo,922,"96,674,731",12/17/20
923,A R I Z O N A,"1,202,055,144",61,0,2,21,48,NA,NA,group,923,"70,458,524",9/10/21
924,Jacquees,"1,202,013,471",142,0,2,19,101,8/26/17,1552,solo,924,"240,482,349",7/29/21
925,Alanis Morissette,"1,201,244,037",295,0,3,16,99,3/16/96,9385,solo,925,"195,895",11/2/21
926,Petit Biscuit,"1,199,615,143",84,0,1,20,51,NA,NA,solo,926,"18,677,227",4/7/21
927,Pink Sweat$,"1,198,674,458",49,0,2,20,44,NA,NA,solo,927,"44,764,741",11/16/21
928,Gloria Trevi,"1,198,255,407",271,0,0,29,119,NA,NA,solo,928,"132,800,053",11/22/21
929,"Emeli Sand?,1",194,"638""","545,104,417",146,0,3,76,2/26/21,NA,929,737,18
930,Dave Matthews Band,"1,191,228,948",976,0,1,23,151,2/13/99,8321,group,930,"12,494,077",10/27/21
931,Jake Owen,"1,189,060,122",90,0,2,16,71,7/15/06,5612,solo,931,"30,523,629",9/3/21
932,Wu-Tang Clan,"1,187,400,020",347,0,1,16,119,10/9/93,10274,group,932,"11,075,579",6/19/21
933,Dadju,"1,185,762,627",89,0,0,32,88,NA,NA,solo,933,"366,887,717",6/10/21
934,AURORA,"1,183,819,691",83,0,1,25,59,NA,NA,solo,934,"323,389,303",11/23/21
935,Missy Elliott,"1,183,433,606",135,0,4,20,60,10/18/03,6613,solo,935,"1,152,793,513",10/4/21
936,Hombres G,"1,183,145,643",275,0,2,15,112,NA,NA,group,936,"57,363,159",11/2/21
937,Counting Crows,"1,181,632,427",193,0,3,12,68,11/6/99,8055,group,937,"3,786,266",7/9/21
938,Pineapple StormTv,"1,181,094,407",191,0,1,25,87,NA,NA,solo,938,"119,381,866",6/29/21
939,Foreigner,"1,180,377,331",287,0,4,11,53,3/26/77,16315,group,939,"251,313",9/26/21
940,Grouplove,"1,180,340,182",110,0,2,15,66,12/17/11,3631,group,940,"3,672,342",7/22/21
941,Official HIGE DANdism,"1,179,198,022",125,0,3,21,60,NA,NA,group,941,"86,539",11/21/21
942,Kelsea Ballerini,"1,177,630,625",74,0,1,22,58,4/18/15,2413,solo,942,"559,985,432",11/14/21
943,Canserbero,"1,175,408,543",90,0,1,30,82,NA,NA,solo,943,"12,124,328",11/18/21
944,Ricardo Montaner,"1,175,168,679",284,0,1,24,87,NA,NA,solo,944,"147,732,275",11/4/21
945,Sam Cooke,"1,172,537,664",356,0,3,11,73,8/2/58,23126,solo,945,"384,104",9/15/21
946,Evaluna Montaner,"1,172,484,369",43,0,3,6,23,NA,NA,solo,946,"111,885,447",11/22/21
947,Eurythmics,"1,171,573,998",216,0,1,11,37,5/14/83,14075,group,947,"11,363,495",10/29/21
948,Beastie Boys,"1,170,723,253",293,0,3,17,145,12/20/86,12759,group,948,"631,275",2/11/21
949,Talking Heads,"1,170,559,958",173,0,3,18,94,2/18/78,15986,group,949,0,8/24/21
950,Leonard Cohen,"1,169,977,076",379,0,0,29,181,12/3/16,1818,solo,950,"2,912,425",10/29/21
951,Regard,"1,169,696,729",31,0,2,4,16,4/25/20,579,solo,951,0,3/29/21
952,Gemitaiz,"1,169,359,138",158,0,0,33,119,NA,NA,solo,952,"551,183,196",7/17/21
953,Ludacris,"1,169,259,865",204,0,0,24,107,1/20/01,7614,solo,953,"3,205,955,574",3/30/21
954,Burna Boy,"1,168,521,268",154,0,3,27,83,NA,NA,solo,954,"1,325,117,200",11/23/21
955,Brett Eldredge,"1,167,558,180",92,0,3,17,65,6/8/13,3092,solo,955,0,11/22/21
956,Cole Swindell,"1,163,691,710",77,0,2,19,64,11/2/13,2945,solo,956,"7,146,457",10/14/21
957,R? Roma,"1,162,969,995",97,0,2,25,74,NA,NA,solo,957,"54,061,819",2/28/21
958,The Temptations,"1,162,727,326",703,0,2,10,54,4/16/60,22503,group,958,"52,421,883",6/20/21
959,Lindsey Stirling,"1,162,116,277",104,0,0,41,99,1/9/16,2147,solo,959,"224,831,055",11/22/21
960,Ultimo,"1,161,942,439",62,0,0,31,53,NA,NA,solo,960,"68,976,805",10/29/21
961,Ben&Ben,"1,160,974,179",52,0,3,23,45,NA,NA,group,961,"14,086,639",11/22/21
962,Banda Los Recoditos,"1,159,835,788",233,0,2,23,111,NA,NA,solo,962,"11,518,962",2/26/21
963,Micro TDH,"1,158,968,852",58,0,1,12,48,NA,NA,solo,963,"32,911,846",11/16/21
964,"Matu?,1",158,"411""","188,199,873",29,0,2,28,10/21/21,NA,964,857,26
965,Grateful Dead,"1,157,947,195","3,119",0,0,16,132,11/27/71,18261,group,965,0,10/14/21
966,Tyler Childers,"1,157,831,027",61,0,2,32,57,NA,NA,solo,966,"19,717,682",11/22/21
967,Kungs,"1,157,042,297",27,0,1,9,25,NA,NA,solo,967,"11,911,282",4/3/21
968,Darius Rucker,"1,155,489,428",101,0,1,14,75,7/26/08,4870,solo,968,"37,798,327",11/20/21
969,Stone Sour,"1,154,389,161",137,0,3,16,102,11/2/02,6963,group,969,"209,472",6/28/21
970,EDEN,"1,154,155,920",56,0,3,23,55,NA,NA,solo,970,"22,025,471",10/24/21
971,Eros Ramazzotti,"1,151,635,033",418,0,2,23,145,NA,NA,solo,971,"20,707,242",11/20/21
972,A Great Big World,"1,149,467,420",63,0,1,12,33,NA,NA,solo,972,"17,754,505",11/6/21
973,Two Feet,"1,147,628,660",38,0,3,17,35,NA,NA,solo,973,"20,047,600",2/26/21
974,La Adictiva Banda San Jos?de Mesillas,"1,145,624,117",87,0,2,23,59,NA,NA,group,974,"31,641,132",2/26/21
975,beabadoobee,"1,145,182,474",52,0,1,6,35,NA,NA,solo,975,"4,643,526",2/26/21
976,Icona Pop,"1,144,480,058",113,0,2,16,55,NA,NA,group,976,"189,837,410",5/3/21
977,Empire of the Sun,"1,144,142,649",108,0,3,10,52,NA,NA,group,977,"91,503,429",6/30/21
978,BIGBANG,"1,140,731,104",379,0,1,21,52,NA,NA,group,978,"1,044",11/23/21
979,Moby,"1,139,611,531",770,0,1,19,147,NA,NA,solo,979,"209,309,702",12/24/20
980,Santa Fe Klan,"1,139,107,691",188,0,1,30,105,NA,NA,solo,980,"330,424,178",11/23/21
981,MadeinTYO,"1,138,903,625",81,0,4,16,56,4/16/16,2049,solo,981,"452,976,749",5/7/21
982,Famous Dex,"1,138,688,989",149,0,2,9,57,4/7/18,1328,solo,982,"150,148,632",5/5/21
983,Tom Petty and the Heartbreakers,"1,136,844,304",230,0,3,15,78,NA,NA,group,983,"2,619,823",6/30/21
984,Ella Eyre,"1,134,243,288",77,0,4,13,46,NA,NA,solo,984,"182,202,955",2/26/21
985,ONE OK ROCK,"1,133,808,931",115,0,0,35,103,NA,NA,group,985,0,9/7/21
986,GoldLink,"1,133,451,178",94,0,2,21,64,NA,NA,solo,986,"319,285,769",11/12/21
987,LMFAO,"1,132,378,790",57,0,3,9,33,3/21/09,4632,group,987,"211,074,207",9/3/21
988,RIN,"1,131,389,375",61,0,1,29,59,NA,NA,solo,988,"55,810,713",7/31/21
989,Duran Duran,"1,129,700,517",489,0,2,16,64,12/25/82,14215,group,989,0,10/25/21
990,Gym Class Heroes,"1,128,430,812",72,0,2,6,28,9/1/07,5199,group,990,0,9/2/21
991,No Doubt,"1,127,656,163",120,0,2,13,53,12/16/95,9476,group,991,"272,801",11/23/21
992,M.I.A.,"1,127,631,117",111,0,3,11,75,8/2/08,4863,solo,992,"156,089,688",9/11/21
993,Junior H,"1,127,418,259",78,0,3,28,76,NA,NA,solo,993,"185,211,909",11/3/21
994,Deep Purple,"1,124,412,499",814,0,2,14,72,8/17/68,19458,group,994,"4,127,611",11/16/21
995,Disciples,"1,123,799,838",74,0,1,12,33,NA,NA,solo,995,"45,002,553",2/26/21
996,Matchbox Twenty,"1,122,333,501",78,0,3,17,59,NA,NA,group,996,"717,819",11/6/21
997,KSHMR,"1,121,737,570",115,0,1,31,80,NA,NA,solo,997,"140,390,298",5/5/21
998,Fat Joe,"1,121,148,790",224,0,3,18,60,10/9/93,10274,solo,998,"405,211,372",9/13/21
999,Phoenix,"1,121,055,870",109,0,3,20,66,12/19/09,4359,group,999,"1,572,724",6/30/21
1000,KC Rebell,"1,120,353,473",243,0,0,31,112,NA,NA,group,1000,"295,392,571",5/26/21
